name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD004395,-0.75,5471,3.32,-0.35,5519,3.58,-0.23,0.377,5.6463,-4.4015,-0.9173,2.9718,0.7265,2.6939,3.3121,2.1656,3.6961,0.0407,0.1106,2.0265,1.7762,1.4131,0.9207,0.4511,0.3951,1.5027,0.0178,0.0033,G5/6III,G,D,1,2,0,3.58,-0.23
HD004614,8.29,5890,4.4,-0.28,5863,4.17,-0.31,0.5789,4.2687,-1.7018,0.6781,2.1673,0.4636,2.0618,1.5726,2.7936,3.0957,0.0154,0.0891,2.0629,1.4203,1.1277,0.648,0.4059,0.2142,1.1673,0.0104,0.0009,F9V,F,C,1,4,0,4.17,-0.31
HD005234,-23.56,4385,1.58,-0.27,4447,2.1,-0.07,1.3961,6.2626,-9.2787,-2.8311,6.8204,1.7883,3.9606,6.5443,1.1668,6.385,0.097,0.2159,3.1492,3.6286,2.9882,2.3277,1.3991,0.9705,2.9178,0.0263,0.031,G8III,G,E,1,2,0,2.1,-0.07
HD005395,-48.08,4708,2.42,-0.48,4857,2.39,-0.4,0.5915,7.1561,-7.5437,-2.6019,4.406,1.1288,3.3324,4.4011,1.4603,5.0959,0.0567,0.1357,2.1709,2.4942,2.0377,1.2869,1.0608,0.5192,1.1022,0.0073,0.0116,G8.5IIIbFe-0.5,G,B,1,2,0,2.39,-0.4
HD005448,9.6,8029,3.9,0.1,8230,4.04,-0.04,0.1696,-2.301,12.3575,8.3739,-1.9711,-0.0248,0.9737,-0.1862,8.1719,1.3611,-0.0055,0.0224,0.5961,0.556,0.5075,0.0854,0.0132,0.0033,0.7945,0.0124,-0.0005,A6V,A,C,1,0,0,4.04,-0.04
HD005516,-25.49,4940,2.7,-0.54,4848,2.97,-0.39,0.5373,6.4023,-7.506,-2.1206,5.4821,1.3517,3.4656,6.1546,1.799,5.9524,0.0513,0.1521,2.5562,3.0193,2.4896,1.6011,1.2087,0.7115,2.224,0.0108,0.0118,G8-III,G,C,1,1,0,2.97,-0.39
HD005600,3.7,6631,3.98,-0.14,6172,3.78,-0.24,0.3839,2.0851,2.2315,2.9691,0.7905,0.3745,1.8717,0.9217,3.7648,2.8996,0.0133,0.0502,0.8744,1.1843,0.9424,0.4369,0.2859,0.0604,0.766,0.0135,0.0052,F5V,F,C,1,0,0,3.78,-0.24
HD005916,-68.17,4874,1.8,-0.61,4974,2.3,-0.75,0.277,7.278,-6.4511,-2.2724,3.2906,0.8493,2.8389,2.9172,1.472,4.1672,0.0478,0.1058,1.6298,1.8459,1.5603,0.8668,0.6966,0.2988,1.1099,0.0083,0.0056,G8III-IV,G,C,1,2,0,2.3,-0.75
HD005916,-68.17,4874,1.8,-0.61,4975,2.3,-0.75,0.2701,7.2565,-6.4351,-2.2776,3.2627,0.8362,2.8448,2.9287,1.4654,4.1644,0.0478,0.1054,1.6469,1.8537,1.543,0.8966,0.7054,0.286,1.0888,0.0085,0.0058,G8III-IV,G,C,1,2,0,2.3,-0.75
HD006582,-99.56,5313,4.4,-0.83,5420,4.48,-0.76,1.1254,5.6499,-4.9868,-1.4176,3.0789,0.5409,2.0737,1.044,1.6999,2.8276,0.0402,0.1742,4.1177,1.7082,1.3396,0.7581,0.4968,0.1068,1.6647,0.0067,-0.0002,G5Vb,G,B,1,4,0,4.48,-0.76
HD006582,-100.14,5313,4.4,-0.83,5394,4.41,-0.82,1.0096,5.2273,-4.575,-1.3042,2.8085,0.4781,2.0279,1.1932,1.6448,2.4388,0.0371,0.1639,3.9551,1.7249,1.3063,0.7749,0.2998,0.1902,1.5403,0.0093,0.0019,G5Vb,G,B,1,4,0,4.41,-0.82
HD006755,-312.17,5133,2.69,-1.5,5074,2.55,-1.63,0.4317,5.1965,-3.358,-0.6757,1.1502,0.3219,1.3874,0.2119,1.5438,2.0729,0.0131,0.0488,0.8831,0.8419,0.6383,0.3575,0.3247,-0.0118,0.5137,0.0046,0.0019,G5,G,D,1,3,0,2.55,-1.63
HD006833,-243.66,4433,1.31,-0.9,4587,1.55,-0.79,1.2094,6.7649,-7.5821,-2.4762,4.2648,1.2366,3.3652,3.1795,1.1957,4.8281,0.0495,0.1261,1.9527,2.5684,1.959,1.3473,0.9664,0.5692,1.7703,0.0059,0.0157,K0IIIbFe-2,K,B,1,4,0,1.55,-0.79
