name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD147470,-29.04,8761,4.04,-0.27,9637,3.8,-0.74,0.1011,-3.0572,13.1597,8.9299,-2.2514,-0.1105,0.4565,-0.3755,8.7479,0.4585,0.0023,0.0213,0.5157,0.2686,0.0748,0.0142,-0.0527,0.0068,0.5799,0.0084,0.0023,A0V,A,C,1,0,0,3.8,-0.74
HD147550,-23.93,10506,3.63,0,10400,3.37,-0.17,-0.0007,-2.7863,11.4929,8.4735,-1.1942,-0.1182,0.2371,-0.6774,8.4873,0.2846,0.0127,0.0206,0.2288,0.1068,0.0089,0.0374,-0.0236,0.1231,0.5195,0.0061,0.0036,B9V,B,C,1,0,0,3.37,-0.17
HD147907,-34.71,6912,4.33,0,6875,4.31,-0.15,0.3563,1.0715,4.2814,4.0664,0.4388,0.38,1.9073,0.9067,4.5687,2.8009,0.0062,0.049,0.9923,1.1909,1.0067,0.3929,0.2812,0.1884,0.8475,0.0101,0.0017,F2III,F,C,1,0,0,4.31,-0.15
HD150177,-18.73,6064,3.96,-0.6,6011,3.94,-0.63,0.2602,2.4108,0.983,2.0639,0.7744,0.1839,1.5264,0.3757,3.1034,2.2028,0.0147,0.0499,0.9395,0.8849,0.7193,0.3575,0.1594,0.0715,1.0681,0.0205,0.0016,F6V,F,C,1,3,0,3.94,-0.63
HD150680,-67.3,5758,3.77,0.04,5737,3.71,0.03,0.5585,5.0459,-2.7754,0.2202,2.8331,0.7506,2.6238,3.7072,2.7839,4.2511,0.0264,0.0955,1.8681,1.8548,1.6012,0.8776,0.6545,0.3587,1.4049,0.0153,0.0015,G0IV,G,B,1,4,0,3.71,0.03
HD152391,45.07,5495,4.3,-0.08,5500,4.53,0.03,1.1579,5.3405,-5.792,-1.4533,4.777,0.9876,2.9843,3.8968,1.9018,4.2309,0.0337,0.1746,3.8362,2.717,2.2225,1.369,0.8044,0.4915,1.8889,-0.0029,0.0042,G8.5Vk:,G,C,1,2,0,4.53,0.03
HD154359,0.1,9739,3.95,-0.38,8994,3.65,-1.15,0.1556,-3.1284,13.7673,9.1347,-2.4056,-0.1081,0.5991,-0.4978,8.8619,0.8042,-0.0036,0.0218,0.6065,0.4402,0.147,0.0225,-0.0415,0.1042,0.6638,0.0053,0.0015,A2V,A,C,1,0,0,3.65,-1.15
HD154443,-6,7659,4.2,-0.05,7296,3.84,0.16,0.2521,-0.5386,8.3566,6.408,-0.3278,0.2157,1.6294,0.1871,6.4607,2.4431,-0.0016,0.0359,0.6672,1.1061,0.8848,0.2547,0.1248,0.1642,0.8879,0.0092,0.0008,A7III,A,C,1,0,0,3.84,0.16
HD154543,-2.1,3573,1.2,-0.2,3548,1.56,-0.03,3.6956,4.9457,-8.2202,-2.2517,6.909,2.584,5.5264,11.8039,1.3572,8.0743,0.2217,0.4753,6.2711,3.4342,3.5337,2.6582,0.114,1.1387,4.056,0.2405,0.5024,K2,K,E,1,0,0,1.56,-0.03
HD154797,-43.29,6705,4.09,0.1,6548,4.22,0.02,0.4927,1.913,2.884,3.3556,0.9582,0.4721,2.1428,1.6246,4.2607,3.3453,0.008,0.059,1.1846,1.3749,1.1869,0.464,0.3625,0.2138,0.9772,0.0111,0.0008,F5IV/V,F,D,1,0,0,4.22,0.02
HD154931,-18.4,5910,4,-0.1,5766,3.85,-0.17,0.5885,4.6644,-2.2352,0.4764,2.4644,0.6082,2.3073,2.3641,2.7074,3.3986,0.0204,0.0873,1.8214,1.6186,1.327,0.6709,0.5037,0.2867,0.8585,0.0079,0.0028,G0V,G,C,1,2,0,3.85,-0.17
HD157089,-162.21,5778,4.06,-0.55,5755,3.95,-0.57,0.4899,4.1433,-1.5546,0.6329,1.4593,0.4201,1.8836,0.9378,2.5251,2.6183,0.0078,0.077,1.9614,1.1686,0.8847,0.4936,0.319,0.1507,0.4783,-0.0003,0.0037,F8VgF8mF6,F,C,1,4,0,3.95,-0.57
HD157214,-78.72,5685,4.15,-0.42,5641,4.08,-0.37,0.8052,5.3582,-3.1896,-0.1107,2.3184,0.5125,2.2934,2.2131,2.346,3.1551,-0.0444,0.1162,3.1979,1.5365,1.3337,0.665,0.486,0.2233,1.6935,-0.0514,0.038,G0V,G,C,1,4,0,4.08,-0.37
HD157214,-78.55,5685,4.15,-0.42,5639,4.08,-0.41,0.7358,5.0351,-3.1345,-0.1813,2.4564,0.511,2.187,1.7893,2.403,3.1549,0.0162,0.118,2.9844,1.5199,1.2612,0.6009,0.4378,0.243,1.4094,-0.0035,0.0035,G0V,G,C,1,4,0,4.08,-0.41
HD158614,-76.69,5615,4.14,-0.03,5591,4.33,0.01,0.8654,5.4312,-4.8913,-1.0475,4.0415,0.9206,2.6838,4.2312,2.2432,3.9633,0.0415,0.1607,3.4919,2.4157,1.9536,1.1327,0.7301,0.4188,2.0135,0.0115,0.0038,G9-IV-VHdel1,G,C,1,1,0,4.33,0.01
HD159181,-21.14,5132,1.55,0.12,5368,1.22,-0.13,0.4242,6.563,-5.9574,-0.6292,4.1654,1.2511,4.0432,4.9755,2.6348,7.514,0.0411,0.1001,0.8946,2.7423,2.3415,1.4247,1.0406,0.5594,1.2853,0.0103,0.0136,G2Ib-IIa,G,B,1,3,0,1.22,-0.13
HD159269,8.63,7065,4.4,-0.15,6596,4.1,-0.27,0.2894,0.3106,5.4023,4.5601,-0.0843,0.2186,1.4901,0.3684,4.8126,2.1066,0.0049,0.0377,0.728,0.9174,0.7517,0.3181,0.1649,0.0995,0.6391,0.0074,-0.0001,F2,F,E,1,0,0,4.1,-0.27
HD159482,-137.11,5662,4.18,-0.88,5775,4.2,-0.76,0.5321,4.1282,-1.5196,0.5143,1.2193,0.2519,1.5623,0.7314,2.4998,2.369,0.018,0.0874,2.1786,1.0627,0.9051,0.4614,0.2727,0.0939,1.195,0.0167,0.0029,G0V,G,C,1,4,0,4.2,-0.76
HD160346,20.16,4983,4.3,-0.1,4827,4.56,-0.06,2.4992,5.5529,-9.204,-3.1713,7.2148,1.4435,3.9147,4.7506,0.9421,4.8679,0.1548,0.3681,6.0444,3.947,3.421,2.3479,0.9934,0.6409,4.6572,0.0213,0.0225,K3-V,K,C,1,2,0,4.56,-0.06
HD160454,26.35,7289,4.07,-0.14,6986,4.23,-0.33,0.2376,0.4656,5.3162,4.6676,0.2043,0.2083,1.7126,0.0229,5.0083,2.367,0.0043,0.0367,0.5953,0.9881,0.7955,0.2296,0.1363,0.1134,0.9872,0.0128,0.0035,F2IV/V,F,D,1,0,0,4.23,-0.33
HD160933,-56.52,5751,3.81,-0.29,5775,3.79,-0.29,0.5545,4.7884,-1.8778,0.6887,1.8187,0.4789,2.2625,1.884,2.6647,3.11,-0.0546,0.0651,1.7362,1.4061,1.1876,0.6605,0.4351,0.161,0.8772,-0.0459,0.0393,F9IV-V,F,C,1,3,0,3.79,-0.29
HD161074,-28.62,3980,1.83,-0.27,4005,1.88,-0.02,3.8557,6.3769,-11.0734,-3.5289,8.3381,2.3817,4.9568,8.4571,0.4635,6.8774,0.2663,0.432,4.9091,3.9918,3.9758,2.9283,1.3614,1.3944,4.5231,0.0684,0.1578,K4III,K,C,1,1,0,1.88,-0.02
HD161098,-17.19,5617,4.3,-0.27,5643,4.45,-0.24,0.895,4.9637,-4.1617,-0.7551,3.3992,0.6747,2.407,2.3249,2.0597,3.2555,0.0214,0.1308,3.2141,1.9828,1.6297,0.9432,0.5998,0.3085,1.7031,0.0197,0.0038,G8V,G,C,1,2,0,4.45,-0.24
HD161622,-0.63,6774,4.41,0,6675,4.25,-0.19,0.3743,1.0468,4.2314,4.0179,0.4222,0.3165,1.8493,0.7352,4.5085,2.7369,0.0067,0.0479,0.9374,1.1042,0.8851,0.3737,0.2238,0.1751,0.8207,0.0102,0.0021,F0,F,E,1,0,0,4.25,-0.19
HD161677,-16.6,13962,3,0,15331,3.54,-0.06,0.0121,-1.6005,6.5645,5.2378,0.0196,0.4676,-0.0007,-0.0505,5.1742,0.3617,0.0123,0.0102,-0.0215,0.0666,0.1392,-0.0377,-0.0203,0.078,0.7602,0.014,0.0053,B8,B,E,1,0,0,3.54,-0.06
HD161797A,-17.05,5467,3.88,0.2,5465,3.85,0.24,0.6252,5.5771,-4.9791,-1.0101,4.3959,1.0587,2.9612,6.5062,2.473,4.9643,0.0456,0.1509,3.0222,2.6381,2.1314,1.1962,0.9781,0.5854,2.2321,0.0034,0.0042,G5IV,G,B,1,4,0,3.85,0.24
HD161941,-56.33,10512,3.67,0,10630,4.17,0.24,0.047,-2.0629,9.7553,7.6777,-0.5919,-0.0502,0.1924,-0.6237,7.8491,0.2878,0.0128,0.0215,0.2637,0.0846,0.0015,0.004,-0.0198,0.1611,0.5004,0.0049,0.0031,B9/A0III,B,D,1,0,0,4.17,0.24
HD162028,-7.5,13990,3.49,0,13568,3.78,-0.13,0.0252,-2.1096,8.2165,6.2527,-0.4128,0.2737,0.0286,-0.143,6.1788,0.2207,0.0123,0.0132,0.0244,0.0599,0.1398,-0.0188,-0.0034,0.0908,0.9627,0.0152,0.006,B9,B,E,1,0,0,3.78,-0.13
HD162056,-10.45,6842,4.07,-0.09,7365,4.23,-0.11,0.2554,-0.2293,7.6072,5.971,-0.2246,0.2086,1.6025,0.1346,6.1372,2.4304,0.0015,0.0341,0.4915,1.0753,0.8751,0.2614,0.1123,0.1133,1.0032,0.0092,0.0019,F0V,F,C,1,0,0,4.23,-0.11
HD162178,-57.48,7275,4.11,-0.12,7306,4.27,-0.07,0.3139,0.0019,6.9594,5.5908,-0.2015,0.2733,1.8374,0.4559,5.8565,2.8245,0.0085,0.0425,0.5498,1.1481,0.9332,0.3022,0.1731,0.1503,1.1437,0.0159,-0.0003,A5,A,E,1,0,0,4.27,-0.07
HD162651,-33.29,9652,3.59,0.19,11306,3.38,0.32,-0.0063,-2.2996,9.5835,7.403,-1.0299,-0.0916,0.2229,-1.1645,7.6325,0.4105,0.0201,0.0311,0.0514,-0.0624,-0.0775,0.1893,-0.0078,0.2948,0.8055,0.0192,0.0034,B9IV,B,C,1,0,0,3.38,0.32
HD162652,-9.2,4689,2.71,0,4923,2.69,-0.04,0.3882,6.0458,-7.0851,-1.9788,4.9249,1.2588,3.3548,5.7925,1.6778,5.7045,0.0508,0.1414,2.3525,2.9945,2.351,1.591,1.1373,0.7847,1.8965,0.0174,0.015,K0III,K,C,1,0,0,2.69,-0.04
HD162691,-50.41,6842,4.04,-0.12,6471,4.14,-0.15,0.4323,1.3218,3.8353,3.7926,0.4673,0.3703,1.7683,0.9447,4.3655,2.6632,0.0065,0.0524,1.0142,1.115,0.8914,0.4626,0.284,0.133,0.7596,0.0087,0.001,F2,F,E,1,0,0,4.14,-0.15
HD162736,-37.04,7771,3.62,0.3,8161,3.39,0.61,0.2248,-1.8031,11.4451,7.9698,-1.8276,0.1563,1.4733,-0.263,8.0419,2.0292,0.0041,0.0324,0.3537,0.8559,0.6582,0.381,0.1089,0.1154,1.2475,0.0181,0.0016,A2IV,A,C,1,0,0,3.39,0.61
HD162917,-28.69,6380,4.1,0.1,6530,4.21,-0.06,0.4401,1.5838,3.4337,3.6234,0.6983,0.4161,1.9542,1.0573,4.3145,3.0048,0.009,0.0561,1.0956,1.254,0.9469,0.4492,0.2858,0.148,0.786,0.0059,0.0027,F4IV-V,F,D,1,1,0,4.21,-0.06
HD162954,999.99,10341,3.93,0,15036,3.59,-0.11,0.0157,-1.824,7.2109,5.6937,0.0196,0.6079,0.0508,-0.0646,5.6077,0.3518,0.0103,0.0103,0.0139,0.0598,0.1549,-0.0215,-0.0314,0.0891,0.6668,0.0127,0.0052,B5III/V,B,D,1,0,-1,3.59,-0.11
HD163346,15.09,8478,3.24,0.2,6441,3.98,0.2,0.1333,0.3781,6.2004,5.0372,0.7593,0.3546,1.7051,1.9214,5.1514,3.0658,0.026,0.0736,1.184,1.6155,1.3186,0.7284,0.5843,0.4757,1.6715,0.0161,0.0085,A2IV+G/K,A,C,1,0,0,3.98,0.2
HD163489,-48.99,4432,2.53,-0.02,4829,2.8,0.02,0.7549,6.1763,-7.8861,-2.3524,5.6858,1.4146,3.311,6.3226,1.5524,5.7879,0.0563,0.1605,2.7095,3.214,2.5295,1.791,1.2531,0.8231,2.4941,0.0145,0.019,K0III,K,C,1,0,0,2.8,0.02
HD163624,-8.09,8715,3.9,0.1,8579,3.64,-0.04,0.1344,-2.8163,13.2909,8.8792,-2.2654,-0.172,0.8436,-0.5082,8.6918,1.0298,-0.004,0.0229,0.5148,0.5317,0.3896,0.1282,0.0101,0.071,0.7615,0.0149,0.0059,A3V,A,C,1,0,0,3.64,-0.04
HD163641,-19.05,10789,3.88,0,11084,4.21,0.16,-0.0234,-1.9959,9.1945,7.027,-0.6948,0.0432,0.1252,-0.5948,7.0169,0.2336,0.017,0.0181,0.0294,-0.0396,-0.0438,-0.0219,-0.0387,0.0745,0.2449,0.0046,0.0033,B9Vp,B,C,1,0,0,4.21,0.16
HD163792,-26.3,9809,3.98,-0.02,10042,3.87,-0.53,0.0489,-2.9529,12.2148,8.7288,-1.6125,-0.0912,0.2221,-0.4783,8.6858,0.1999,0.0166,0.0203,0.3081,0.0742,0.072,-0.0114,-0.0281,0.086,0.7239,0.015,0.0038,A0V,A,C,1,0,0,3.87,-0.53
HD164115,-23.31,6938,3.78,-99,7102,4.21,-0.54,0.3066,0.8764,4.661,4.4446,0.6521,0.3452,1.9661,0.5891,4.9363,3.023,0.006,0.044,0.5769,1.1578,1.0172,0.3179,0.1523,0.1454,1.2154,0.015,0.0041,F0,F,E,1,-1,0,4.21,-0.54
HD164115,-33.96,6938,3.75,-99,7112,4.2,-0.53,0.3115,0.9556,4.6562,4.4633,0.6287,0.3546,1.9519,0.5094,4.9327,3.0509,0.0044,0.0439,0.5478,1.1343,1.0813,0.3224,0.1777,0.1492,1.2289,0.0146,0.0044,F0,F,E,1,-1,0,4.2,-0.53
HD164257,6.04,9449,3.92,0.46,10178,3.32,0.58,-0.0773,-2.9187,11.2798,8.369,-1.3655,-0.0424,0.5647,-1.1954,8.5784,0.8691,0.0129,0.0371,0.056,0.037,0.0499,0.4843,-0.0302,0.3995,0.8488,0.0127,0.0056,A0,A,E,1,0,0,3.32,0.58
HD164258,-36.19,8553,3.7,-0.1,8854,3.59,0.27,-0.3556,-3.1917,13.6012,9.272,-2.5919,0.0681,0.791,-0.5673,9.078,1.3401,-0.001,0.0297,0.2128,0.5672,0.5512,0.6409,0.0596,0.5727,0.6929,0.0052,0.003,A6VpSrCr,A,C,1,0,0,3.59,0.27
HD164259,-49.39,6732,4.14,-0.12,7046,4.33,-0.21,0.3247,0.7309,4.9391,4.4154,0.2371,0.3207,1.8029,0.6453,4.8312,2.6369,0.0056,0.0451,0.8152,1.185,0.9251,0.4339,0.1863,0.1759,0.9093,0.0075,0.0027,F2V,F,C,1,1,0,4.33,-0.21
HD164259,-50.8,6732,4.14,-0.12,7062,4.32,-0.2,0.2919,0.6912,4.8538,4.3036,0.0362,0.2725,1.7402,0.7306,4.7965,2.7597,0.0069,0.0445,0.7651,1.0843,0.9626,0.3488,0.1796,0.14,1.0617,0.0193,0.0029,F2V,F,C,1,1,0,4.32,-0.2
HD164259,-49.31,6732,4.14,-0.12,7063,4.31,-0.2,0.2612,0.6716,4.7834,4.274,0.098,0.2803,1.7616,0.7741,4.8,2.7855,0.0093,0.046,0.752,1.0557,0.9618,0.3564,0.1858,0.1419,1.05,0.0189,0.0024,F2V,F,C,1,1,0,4.31,-0.2
HD164259,-49.92,6732,4.14,-0.12,7064,4.31,-0.2,0.3302,0.6887,4.8783,4.3208,0.1266,0.2999,1.7151,0.7016,4.7986,2.7964,0.0083,0.0449,0.748,1.0735,0.958,0.3342,0.1808,0.1344,1.0758,0.0184,0.0022,F2V,F,C,1,1,0,4.31,-0.2
HD164259,-49.73,6732,4.14,-0.12,7054,4.31,-0.21,0.2935,0.6703,4.8478,4.3374,0.1609,0.3204,1.7467,0.6766,4.809,2.8434,0.0101,0.0472,0.7795,1.0773,0.9745,0.3297,0.1762,0.1225,1.0686,0.0181,0.0019,F2V,F,C,1,1,0,4.31,-0.21
HD164259,-48.94,6732,4.14,-0.12,7041,4.32,-0.22,0.2959,0.7061,4.8859,4.3387,0.0947,0.2899,1.7693,0.785,4.7868,2.8087,0.0106,0.0472,0.7777,1.0545,0.9787,0.3336,0.1681,0.112,1.0501,0.0187,0.0015,F2V,F,C,1,1,0,4.32,-0.22
HD164259,-47.75,6732,4.14,-0.12,7050,4.32,-0.21,0.3115,0.6499,4.9461,4.358,0.0224,0.3068,1.7551,0.7999,4.7942,2.8524,0.0115,0.0476,0.7579,1.0311,0.9655,0.3667,0.1739,0.1259,1.0443,0.0177,0.0015,F2V,F,C,1,1,0,4.32,-0.21
HD164259,-50.07,6732,4.14,-0.12,7056,4.31,-0.21,0.2865,0.6183,4.8785,4.341,0.1765,0.2845,1.724,0.7595,4.7872,2.858,0.0076,0.0445,0.76,1.0302,0.9631,0.3353,0.185,0.1396,1.035,0.0183,0.0023,F2V,F,C,1,1,0,4.31,-0.21
HD164259,-48.78,6732,4.14,-0.12,7061,4.31,-0.2,0.2881,0.6952,4.8493,4.3232,0.148,0.297,1.7614,0.8687,4.8167,2.8179,0.0092,0.0455,0.7486,1.0665,0.9483,0.3302,0.1923,0.1447,1.0466,0.0185,0.0021,F2V,F,C,1,1,0,4.31,-0.2
HD164259,-48.49,6732,4.14,-0.12,7058,4.31,-0.21,0.3309,0.6968,4.8676,4.3563,0.178,0.287,1.7423,0.7567,4.8283,2.7958,0.0083,0.0456,0.775,1.0653,0.9285,0.3355,0.1958,0.1282,1.0555,0.018,0.0023,F2V,F,C,1,1,0,4.31,-0.21
HD164259,-50,6732,4.14,-0.12,7044,4.31,-0.21,0.2904,0.6965,4.878,4.3476,0.1604,0.3042,1.7329,0.7605,4.8017,2.7737,0.0081,0.0446,0.798,1.061,0.9239,0.3297,0.1855,0.1464,1.0349,0.0176,0.0027,F2V,F,C,1,1,0,4.31,-0.21
HD164557,999.99,13268,3.93,-0.1,14369,3.48,0.14,-0.0208,-1.6386,7.1659,5.5857,-0.3582,0.3292,0.1524,-0.693,5.5985,0.3378,0.0231,0.0305,-0.0073,-0.0273,0.043,0.0744,-0.0797,0.1186,0.6723,0.0181,0.0033,B3/5V,B,D,1,0,-1,3.48,0.14
HD164967,-4.51,8742,3.98,-0.07,9313,3.65,-1.09,0.1084,-3.4113,13.6507,9.1274,-2.3875,-0.1681,0.3496,-0.5511,8.9079,0.3658,0.0037,0.0229,0.5679,0.2639,0.2771,0.0292,-0.0256,0.0551,0.7626,0.0136,0.003,A0,A,E,1,0,0,3.65,-1.09
HD165146,-39.21,6892,4.1,0.06,6498,3.9,0.02,0.4367,0.9714,4.8064,4.4657,0.4313,0.3356,2.0114,0.8927,4.8135,3.2516,0.0029,0.0468,0.8203,1.2093,1.0128,0.3969,0.2076,0.2026,1.0801,0.0077,0.0034,A5IV,A,C,1,0,0,3.9,0.02
HD165173,0.13,5505,4.3,-0.05,5488,4.42,0.02,1.0689,5.3674,-5.4772,-1.3199,4.5874,0.9316,2.8362,4.1463,1.9762,4.1136,0.0413,0.1813,4.0105,2.6194,2.1639,1.2537,0.7348,0.4032,1.9971,0.0108,0.0034,G5,G,E,1,2,0,4.42,0.02
HD165341,-9.17,5105,4.61,-0.17,5312,4.6,0.07,1.4774,5.5829,-6.9814,-2.0806,5.6343,1.1829,3.3791,4.6181,1.6106,4.7668,0.0699,0.2403,4.7392,3.165,2.6327,1.8106,0.8981,0.586,2.757,0.0049,0.0055,K0-V,K,C,1,3,0,4.6,0.07
HD165401,-118.97,5816,4.36,-0.4,5719,4.28,-0.49,0.6395,4.5682,-2.6066,0.1227,2.35,0.4608,1.9245,1.7418,2.4379,2.6652,0.0204,0.1138,2.8477,1.4577,1.2626,0.5515,0.3812,0.152,1.5549,0.0168,0.0045,G2V,G,C,1,4,0,4.28,-0.49
HD165419,15.11,4349,2.5,0.05,4308,2.45,-0.02,1.7798,5.786,-9.4694,-3.1328,7.3652,1.8263,4.0759,7.053,0.842,6.0788,0.1611,0.2935,3.8814,3.8167,3.3412,2.4633,1.4207,1.1826,3.3582,0.0212,0.0469,K3III,K,C,1,0,0,2.45,-0.02
HD165476,28.44,5845,4.1,-0.06,5763,4.1,-0.11,0.6013,4.7365,-2.7452,0.2018,2.7435,0.6095,2.4455,2.5344,2.6643,3.3951,0.0225,0.1059,2.4007,1.8362,1.5085,0.7415,0.5431,0.2616,1.3272,0.0146,0.0015,G5,G,E,1,2,0,4.1,-0.11
HD165476,28.69,5845,4.1,-0.06,5764,4.1,-0.11,0.708,4.8098,-2.8357,0.1481,2.8552,0.6163,2.3629,2.7457,2.6425,3.5177,0.022,0.106,2.3982,1.8346,1.4769,0.7968,0.5536,0.2909,1.6294,0.0079,0.0032,G5,G,E,1,2,0,4.1,-0.11
HD165511,-10.87,9920,3.76,0.1,10602,3.87,0.07,-0.0203,-2.5633,10.8793,8.0154,-1.4046,-0.1163,0.0884,-0.7787,8.112,0.2373,0.0168,0.0188,-0.0553,-0.0362,0.0732,0.0622,-0.0852,0.1198,0.5892,0.0172,0.0061,B9V,B,C,1,0,0,3.87,0.07
HD165670,17.03,6178,4,-0.1,6158,4.02,-0.14,0.5421,1.9709,2.0785,2.7816,1.1819,0.4308,1.9978,1.4275,3.7274,3.014,0.0074,0.0598,1.3587,1.3264,1.0895,0.5523,0.3604,0.1622,1.1469,0.0178,0.0085,F5,F,E,1,2,0,4.02,-0.14
HD165887,-60.59,8451,3.65,-2.03,8291,3.39,-1.93,0.1813,-2.1384,12.6785,8.4124,-2.3791,-0.0725,0.8813,-0.384,8.2184,1.1748,-0.0083,0.0225,0.6279,0.5297,0.5257,0.0722,-0.0111,0.0471,0.9359,0.0182,0.003,A2/3V,A,D,1,0,0,3.39,-1.93
HD165908,2.71,5957,4.16,-0.52,5928,4.14,-0.55,0.4699,3.4646,0.2111,1.6978,0.8945,0.2543,1.8091,1.0238,2.9392,2.0743,-0.0525,0.0612,1.6233,1.0812,0.919,0.5066,0.3025,0.0822,0.7138,-0.0512,0.0374,F6V,F,C,1,4,0,4.14,-0.55
HD165908,1.27,5957,4.16,-0.52,5930,4.14,-0.57,0.4356,3.2203,0.0341,1.5667,1.2586,0.2669,1.6461,0.5821,2.9374,2.2595,0.013,0.0675,1.4952,1.0961,0.9315,0.4706,0.2508,0.1617,0.8408,-0.0009,0.0034,F6V,F,C,1,4,0,4.14,-0.57
HD166072,-5.89,8161,3.91,-0.46,8713,3.97,-0.5,0.1686,-2.3693,11.4525,8.3214,-1.031,-0.0698,0.7961,-0.4213,8.2376,1.1041,0.006,0.0276,0.5009,0.4935,0.4247,0.0973,0.0986,0.1505,1.0312,0.0169,0.0049,A2V,A,C,1,0,0,3.97,-0.5
HD166073,-39.76,6809,4.08,0,6222,3.73,-0.15,0.3849,1.5532,3.1485,3.476,0.7285,0.3362,1.937,1.1044,4.1123,2.8693,0.0072,0.0473,0.8339,1.2474,0.9978,0.385,0.2763,0.1112,1.0813,0.0086,0.003,F2V,F,C,1,0,0,3.73,-0.15
HD166161,68.09,5196,2.23,-1.24,5074,2.25,-1.38,0.3087,5.0671,-3.0601,0.0048,1.7172,0.2979,2.0188,0.503,1.8563,2.733,0.0184,0.0575,0.8025,1.1175,0.8161,0.3158,0.3773,0.2648,1.3201,0.0107,0.0082,G0wF0,G,D,1,4,0,2.25,-1.38
HD166183,31.88,6607,4.04,-0.16,6140,3.89,-0.16,0.4564,2.4375,1.9257,2.8525,1.1666,0.4009,1.9942,1.2414,3.8526,3.0557,0.0062,0.0586,1.1798,1.323,1.1279,0.4191,0.3037,0.1279,0.8159,0.0033,0.0033,F5/6V,F,D,1,0,0,3.89,-0.16
HD166208,-16.73,4914,2.68,0.13,4989,2.76,0.05,0.8053,4.3816,-5.3869,-0.6988,4.9428,1.2971,3.3728,5.0056,1.8561,6.4238,0.0221,0.1222,2.4265,2.8715,2.4016,1.6394,1.2054,0.7183,2.351,0.0159,0.0129,G8IIICN-1CH-3,G,B,1,3,0,2.76,0.05
HD166233,-51.75,6661,3.57,0.2,7160,4.15,-0.37,0.3393,0.8778,5.4109,4.7019,0.3131,0.3418,1.8474,0.59,5.1921,2.7169,0.0049,0.0455,0.6839,1.1545,0.9761,0.3801,0.1452,0.1132,0.897,0.0078,0.0012,F3V,F,C,1,0,0,4.15,-0.37
HD166257,24.24,6563,4.16,0.08,6508,4.03,-0.07,0.4006,1.6537,3.0903,3.5131,0.9519,0.3704,1.9872,1.04,4.2005,3.224,0.0079,0.0494,0.814,1.2647,0.9913,0.44,0.3285,0.1894,1.2318,0.0076,0.0035,F5,F,E,1,0,0,4.03,-0.07
HD166283,-25.98,8092,3.71,-1.31,8227,3.39,-2.04,0.1896,-2.2102,12.5376,8.3655,-2.1644,-0.0658,1.0005,-0.2259,8.0718,1.2872,-0.0028,0.0317,0.6913,0.6611,0.5685,0.1965,0.0819,0.0941,1.0185,0.0119,-0.0002,A1V,A,C,1,0,0,3.39,-2.04
HD166285,-21.1,6257,3.9,-0.22,6329,4.04,-0.16,0.4469,2.1212,2.1908,2.9037,1.0281,0.3975,1.9748,1.238,3.8388,2.8444,0.0092,0.0565,1.121,1.2471,0.9718,0.4929,0.2713,0.2016,0.7287,0.0075,0.0023,F6V,F,C,1,1,0,4.04,-0.16
HD166285,-21.11,6257,3.9,-0.22,6324,4.04,-0.16,0.4455,2.1504,2.1958,2.9099,1.0101,0.3853,1.968,1.1735,3.8152,2.879,0.0085,0.056,1.1005,1.2412,0.9609,0.4924,0.2496,0.1922,0.6932,0.0077,0.0019,F6V,F,C,1,1,0,4.04,-0.16
HD166384,-24.95,8979,3.66,-0.17,8868,3.57,-0.13,0.1105,-3.375,14.1988,9.3022,-2.7298,-0.1029,0.4509,-0.526,8.8969,0.4623,0.0053,0.0241,0.6048,0.3859,0.2486,0.0996,0.0874,0.0591,0.7676,0.0175,0.0038,A0/1V,A,D,1,0,0,3.57,-0.13
HD166620,-19.32,5013,4.28,-0.17,4946,4.52,-0.18,2.2474,5.9777,-8.467,-2.8832,6.4007,1.3201,3.5102,4.1232,1.1247,4.4984,0.1323,0.3522,6.463,3.3573,2.8293,1.8784,1.0285,0.5476,3.6921,0.0078,0.0041,K2V,K,C,1,3,0,4.52,-0.18
HD166958,-16.72,10124,3.74,0,10243,3.85,0.13,0.0158,-2.5306,11.0922,8.1581,-1.2419,-0.1185,0.2468,-0.5915,8.2543,0.4059,0.0142,0.0213,0.0612,0.1484,0.135,0.0751,-0.0306,0.1079,0.7165,0.0141,0.004,B9.5III,B,C,1,0,0,3.85,0.13
HD166991,-15.5,9011,3.92,-0.43,8981,3.72,-1,0.1516,-2.9407,13.616,9.04,-2.4623,-0.1173,0.6133,-0.3771,8.6652,0.8371,-0.0047,0.0182,0.5259,0.4253,0.3732,-0.02,-0.0883,0.0049,0.516,0.0035,0.0011,A1V,A,C,1,0,0,3.72,-1
HD167065,-20.31,6115,4.24,-0.02,5990,3.89,0,0.6321,3.5536,-0.2286,1.7128,2.0401,0.5951,2.3995,2.1945,3.3113,3.6675,0.014,0.0763,1.5379,1.6478,1.4147,0.6456,0.4843,0.2842,1.0367,0.0106,0.003,G0,G,E,1,0,0,3.89,0
